ft_employment,min_wage_change,state,period,unit,wave1_st_wage,current_st_wage,co_owned,franchise_name,still_open,region
40.5,0,PA,wave 1,1,4.314705882352941,4.314705882352941,0,Burger King,1,Northeast Philly
13.75,0,PA,wave 1,2,4.5,4.5,0,KFC,1,Northeast Philly
8.5,0,PA,wave 1,3,4.5,4.5,1,KFC,1,Northeast Philly
34,0,PA,wave 1,4,5,5,1,Wendy's,1,Northeast Philly
24,0,PA,wave 1,5,5.5,5.5,1,Wendy's,1,Northeast Philly
20.5,0,PA,wave 1,6,5,5,1,Wendy's,1,Northeast Philly
70.5,0,PA,wave 1,7,5,5,0,Burger King,1,Easton Philly
23.5,0,PA,wave 1,8,5,5,0,Burger King,1,Easton Philly
11,0,PA,wave 1,9,5.25,5.25,1,KFC,1,Easton Philly
9,0,PA,wave 1,10,5,5,1,KFC,1,Northeast Philly
15.5,0,PA,wave 1,11,5,5,1,Roy's,1,Easton Philly
58,0,PA,wave 1,12,5,5,0,Burger King,1,Easton Philly
26.5,0,PA,wave 1,13,5,5,0,Burger King,1,Easton Philly
28.5,0,PA,wave 1,14,5.5,5.5,0,Burger King,1,Easton Philly
13.5,0,PA,wave 1,15,5,5,0,Burger King,1,Easton Philly
16.75,0,PA,wave 1,16,5.25,5.25,1,KFC,1,Easton Philly
9.5,0,PA,wave 1,17,5,5,1,KFC,1,Easton Philly
15,0,PA,wave 1,18,5,5,1,Roy's,1,Easton Philly
29.5,0,PA,wave 1,19,5,5,0,Roy's,1,Easton Philly
18.5,0,PA,wave 1,20,5,5,0,Roy's,1,Easton Philly
20.25,0,PA,wave 1,21,5,5,1,Roy's,1,Easton Philly
36,0,PA,wave 1,22,5,5,1,Roy's,1,Northeast Philly
21,0,PA,wave 1,23,5,5,0,Roy's,1,Easton Philly
20.5,0,PA,wave 1,24,5,5,1,Roy's,1,Easton Philly
19,0,PA,wave 1,25,5,5,1,Wendy's,1,Easton Philly
14,0,PA,wave 1,26,5,5,1,Roy's,1,Easton Philly
19,0,PA,wave 1,27,5,5,1,Roy's,1,Easton Philly
32.5,0,PA,wave 1,28,4.25,4.25,0,Burger King,1,Northeast Philly
19,0,PA,wave 1,29,4.25,4.25,0,Burger King,1,Northeast Philly
27,0,PA,wave 1,30,4.25,4.25,0,Burger King,1,Northeast Philly
19.5,0,PA,wave 1,31,4.25,4.25,0,Burger King,1,Northeast Philly
24,0,PA,wave 1,32,4.5,4.5,0,Burger King,1,Northeast Philly
18,0,PA,wave 1,33,4.25,4.25,0,Burger King,1,Northeast Philly
NA,0,PA,wave 1,34,4.5,4.5,0,Burger King,1,Northeast Philly
19,0,PA,wave 1,35,4.25,4.25,0,Burger King,1,Northeast Philly
14,0,PA,wave 1,36,4.5,4.5,0,KFC,1,Northeast Philly
10.5,0,PA,wave 1,37,4.25,4.25,0,KFC,1,Northeast Philly
38,0,PA,wave 1,38,4.67,4.67,1,Wendy's,1,Northeast Philly
23.5,0,PA,wave 1,39,4.75,4.75,1,Wendy's,1,Northeast Philly
10.5,0,PA,wave 1,40,4.25,4.25,0,Wendy's,1,Northeast Philly
25,0,PA,wave 1,41,4.25,4.25,0,Wendy's,1,Northeast Philly
11,0,PA,wave 1,42,4.75,4.75,1,KFC,1,Easton Philly
36.5,0,PA,wave 1,43,4.25,4.25,0,Burger King,1,Northeast Philly
52.5,0,PA,wave 1,44,4.5,4.5,0,Burger King,1,Northeast Philly
29,0,PA,wave 1,45,4.25,4.25,0,Burger King,1,Northeast Philly
45,0,PA,wave 1,46,4.25,4.25,0,Burger King,1,Northeast Philly
22.75,0,PA,wave 1,47,4.25,4.25,0,Burger King,1,Northeast Philly
7.5,0,PA,wave 1,48,4.25,4.25,0,KFC,1,Northeast Philly
15.5,0,PA,wave 1,49,4.25,4.25,0,Wendy's,1,Northeast Philly
38,0,PA,wave 1,50,4.25,4.25,0,Wendy's,1,Northeast Philly
17.5,0,PA,wave 1,51,4.25,4.25,0,Wendy's,1,Northeast Philly
25,0,PA,wave 1,52,4.25,4.25,0,Wendy's,1,Northeast Philly
NA,0,PA,wave 1,53,4.5,4.5,0,Burger King,1,Easton Philly
21,0,PA,wave 1,54,4.75,4.75,0,Burger King,1,Easton Philly
15.5,0,PA,wave 1,55,4.87,4.87,0,Burger King,1,Easton Philly
15.5,0,PA,wave 1,56,4.75,4.75,0,Burger King,1,Easton Philly
8.5,0,PA,wave 1,57,4.5,4.5,1,KFC,1,Easton Philly
18,0,PA,wave 1,58,4.25,4.25,1,Roy's,1,Easton Philly
20.75,0,PA,wave 1,59,4.75,4.75,0,Wendy's,1,Easton Philly
39,0,PA,wave 1,60,4.25,4.25,0,Burger King,1,Easton Philly
41.5,0,PA,wave 1,61,4.25,4.25,0,Burger King,1,Easton Philly
22.5,0,PA,wave 1,62,4.75,4.75,0,Burger King,1,Easton Philly
32,0,PA,wave 1,63,4.5,4.5,0,Burger King,1,Easton Philly
24,0,PA,wave 1,64,4.25,4.25,0,Burger King,1,Northeast Philly
26,0,PA,wave 1,65,4.25,4.25,0,Burger King,1,Easton Philly
48.5,0,PA,wave 1,66,4.5,4.5,0,Burger King,1,Northeast Philly
8.5,0,PA,wave 1,67,4.5,4.5,1,KFC,1,Easton Philly
18.5,0,PA,wave 1,68,4.5,4.5,0,Roy's,1,Easton Philly
13,0,PA,wave 1,69,4.5,4.5,1,Roy's,1,Easton Philly
22.5,0,PA,wave 1,70,4.5,4.5,1,Wendy's,1,Easton Philly
28,0,PA,wave 1,71,4.75,4.75,1,Wendy's,1,Easton Philly
24.5,0,PA,wave 1,72,4.25,4.25,0,Burger King,1,Easton Philly
18.5,0,PA,wave 1,73,4.75,4.75,0,Burger King,1,Easton Philly
23.5,0,PA,wave 1,74,4.25,4.25,1,Roy's,1,Easton Philly
15,0,PA,wave 1,75,4.75,4.75,1,Roy's,1,Easton Philly
18,0,PA,wave 1,76,4.5,4.5,0,Roy's,1,Easton Philly
20.25,0,PA,wave 1,77,4.75,4.75,1,Roy's,1,Easton Philly
15.5,0,PA,wave 1,78,4.25,4.25,0,Burger King,1,Northeast Philly
21,0,PA,wave 1,79,4.35,4.35,0,Burger King,1,Northeast Philly
15,0,NJ,wave 1,80,4.49952380952381,4.49952380952381,0,Burger King,1,Central NJ
15,0,NJ,wave 1,81,4.49952380952381,4.49952380952381,0,Burger King,1,Central NJ
24,0,NJ,wave 1,82,4.652352941176471,4.652352941176471,0,Roy's,1,Central NJ
19.25,0,NJ,wave 1,83,4.7035,4.7035,1,Roy's,1,Undefined NJ
21.5,0,NJ,wave 1,84,4.58,4.58,0,Burger King,1,Undefined NJ
9.5,0,NJ,wave 1,85,4.563846153846153,4.563846153846153,0,KFC,1,Undefined NJ
44,0,NJ,wave 1,86,4.760434782608695,4.760434782608695,0,Wendy's,1,Undefined NJ
NA,0,NJ,wave 1,87,4.58,4.58,0,Burger King,1,Undefined NJ
21,0,NJ,wave 1,88,4.58,4.58,0,Burger King,1,Undefined NJ
28,0,NJ,wave 1,89,4.736666666666666,4.736666666666666,0,Wendy's,1,Southern NJ
10,0,NJ,wave 1,90,4.736666666666666,4.736666666666666,0,Wendy's,1,Southern NJ
20.5,0,NJ,wave 1,91,4.58,4.58,0,Burger King,1,Undefined NJ
25.5,0,NJ,wave 1,92,4.7035,4.7035,1,Roy's,1,Undefined NJ
19,0,NJ,wave 1,93,4.760434782608695,4.760434782608695,0,Wendy's,1,Undefined NJ
16.5,0,NJ,wave 1,94,4.4383333333333335,4.4383333333333335,0,Burger King,1,Southern NJ
17,0,NJ,wave 1,95,4.4383333333333335,4.4383333333333335,1,Burger King,1,Southern NJ
27.5,0,NJ,wave 1,96,4.58,4.58,1,Burger King,1,Undefined NJ
5,0,NJ,wave 1,97,5,5,1,Roy's,1,Central NJ
16,0,NJ,wave 1,98,5.12,5.12,0,KFC,1,Central NJ
41.5,0,NJ,wave 1,99,5.56,5.56,0,Burger King,1,Undefined NJ
13,0,NJ,wave 1,100,5,5,1,KFC,1,Central NJ
10,0,NJ,wave 1,101,5,5,0,KFC,1,Undefined NJ
15,0,NJ,wave 1,102,5.25,5.25,0,KFC,1,Central NJ
26,0,NJ,wave 1,103,5,5,0,Roy's,1,Undefined NJ
18,0,NJ,wave 1,104,5.5,5.5,0,Wendy's,1,Central NJ
35,0,NJ,wave 1,105,5,5,0,Roy's,1,Undefined NJ
21,0,NJ,wave 1,106,5,5,1,Roy's,1,Undefined NJ
34.5,0,NJ,wave 1,107,5,5,0,Wendy's,1,Undefined NJ
18.25,0,NJ,wave 1,108,5,5,0,Wendy's,1,Undefined NJ
24.5,0,NJ,wave 1,109,5,5,0,Wendy's,1,Undefined NJ
20,0,NJ,wave 1,110,5.5,5.5,0,Burger King,1,Central NJ
16,0,NJ,wave 1,111,5,5,1,Burger King,1,Central NJ
17.5,0,NJ,wave 1,112,5,5,0,KFC,1,Central NJ
20.5,0,NJ,wave 1,113,5,5,0,Wendy's,1,Undefined NJ
20,0,NJ,wave 1,114,5,5,0,Wendy's,1,Undefined NJ
12.25,0,NJ,wave 1,115,5,5,1,KFC,1,Central NJ
33,0,NJ,wave 1,116,5.25,5.25,0,Roy's,1,Central NJ
31.5,0,NJ,wave 1,117,5.5,5.5,0,Roy's,1,Central NJ
NA,0,NJ,wave 1,118,5.5,5.5,0,Wendy's,1,Central NJ
18,0,NJ,wave 1,119,5.37,5.37,0,Wendy's,1,Central NJ
28,0,NJ,wave 1,120,5.05,5.05,0,Wendy's,1,Central NJ
16.5,0,NJ,wave 1,121,5,5,0,Burger King,1,Undefined NJ
14.75,0,NJ,wave 1,122,5.12,5.12,0,Burger King,1,Undefined NJ
23.5,0,NJ,wave 1,123,5.25,5.25,0,Burger King,1,Undefined NJ
10,0,NJ,wave 1,124,5,5,0,Burger King,1,Undefined NJ
46.5,0,NJ,wave 1,125,5.12,5.12,0,Burger King,1,Undefined NJ
15.5,0,NJ,wave 1,126,5,5,0,KFC,1,Undefined NJ
24.5,0,NJ,wave 1,127,5,5,1,Roy's,1,Undefined NJ
24,0,NJ,wave 1,128,5,5,1,Roy's,1,Undefined NJ
23,0,NJ,wave 1,129,5,5,1,Roy's,1,Undefined NJ
28,0,NJ,wave 1,130,5,5,0,Wendy's,1,Undefined NJ
32.5,0,NJ,wave 1,131,5,5,1,Burger King,1,Undefined NJ
23,0,NJ,wave 1,132,5,5,1,Burger King,1,Undefined NJ
17,0,NJ,wave 1,133,5.62,5.62,0,Roy's,1,Undefined NJ
30,0,NJ,wave 1,134,5,5,1,Roy's,1,Undefined NJ
21.5,0,NJ,wave 1,135,5,5,1,Wendy's,1,Undefined NJ
32,0,NJ,wave 1,136,5,5,0,Burger King,1,Undefined NJ
8,0,NJ,wave 1,137,5,5,0,Burger King,1,Undefined NJ
35.5,0,NJ,wave 1,138,5.1,5.1,1,Roy's,1,Undefined NJ
31.5,0,NJ,wave 1,139,5,5,0,Roy's,1,Undefined NJ
33,0,NJ,wave 1,140,5.25,5.25,1,Roy's,1,Undefined NJ
22,0,NJ,wave 1,141,5.5,5.5,0,Roy's,1,Undefined NJ
23,0,NJ,wave 1,142,5,5,0,Burger King,1,Southern NJ
23,0,NJ,wave 1,143,5,5,1,Burger King,1,Southern NJ
8.5,0,NJ,wave 1,144,5,5,1,KFC,1,Southern NJ
12.5,0,NJ,wave 1,145,5.05,5.05,1,KFC,1,Southern NJ
9.5,0,NJ,wave 1,146,5.5,5.5,1,KFC,1,Southern NJ
13,0,NJ,wave 1,147,5,5,1,KFC,1,Southern NJ
17,0,NJ,wave 1,148,5.3,5.3,1,Burger King,1,Undefined NJ
9,0,NJ,wave 1,149,5,5,1,KFC,1,Undefined NJ
19,0,NJ,wave 1,150,5,5,1,KFC,1,Undefined NJ
11.5,0,NJ,wave 1,151,5,5,0,KFC,1,Southern NJ
13,0,NJ,wave 1,152,5,5,0,KFC,1,Southern NJ
48,0,NJ,wave 1,153,5.25,5.25,0,Roy's,1,Southern NJ
45.5,0,NJ,wave 1,154,5.15,5.15,1,Roy's,1,Southern NJ
15,0,NJ,wave 1,155,5.42,5.42,0,Wendy's,1,Southern NJ
18,0,NJ,wave 1,156,5,5,0,Burger King,1,Southern NJ
21,0,NJ,wave 1,157,5,5,1,Roy's,1,Southern NJ
20.5,0,NJ,wave 1,158,5.06,5.06,0,Wendy's,1,Southern NJ
20.5,0,NJ,wave 1,159,5.05,5.05,0,Wendy's,1,Southern NJ
17.5,0,NJ,wave 1,160,5,5,0,Wendy's,1,Undefined NJ
27.5,0,NJ,wave 1,161,5,5,0,Burger King,1,Undefined NJ
24,0,NJ,wave 1,162,5,5,1,Burger King,1,Undefined NJ
34,0,NJ,wave 1,163,5.25,5.25,0,Burger King,1,Undefined NJ
18,0,NJ,wave 1,164,5,5,1,Burger King,1,Undefined NJ
24,0,NJ,wave 1,165,5,5,0,Burger King,1,Undefined NJ
NA,0,NJ,wave 1,166,5.05,5.05,1,Roy's,1,Undefined NJ
33.5,0,NJ,wave 1,167,5,5,1,Wendy's,1,Undefined NJ
12,0,NJ,wave 1,168,5.75,5.75,1,Wendy's,1,Undefined NJ
35,0,NJ,wave 1,169,5,5,0,Burger King,1,Undefined NJ
35,0,NJ,wave 1,170,4.5,4.5,0,Burger King,1,Central NJ
16,0,NJ,wave 1,171,4.75,4.75,0,Burger King,1,Central NJ
15.5,0,NJ,wave 1,172,4.25,4.25,0,KFC,1,Central NJ
19,0,NJ,wave 1,173,4.75,4.75,0,Roy's,1,Central NJ
24,0,NJ,wave 1,174,4.5,4.5,0,Roy's,1,Central NJ
NA,0,NJ,wave 1,175,4.8,4.8,0,Wendy's,1,Central NJ
36,0,NJ,wave 1,176,4.37,4.37,0,Burger King,1,Central NJ
29,0,NJ,wave 1,177,4.25,4.25,0,Burger King,1,Central NJ
29,0,NJ,wave 1,178,4.25,4.25,0,Burger King,1,Central NJ
21.25,0,NJ,wave 1,179,4.37,4.37,0,Burger King,1,Central NJ
15.5,0,NJ,wave 1,180,4.5,4.5,0,KFC,1,Central NJ
19.5,0,NJ,wave 1,181,4.6,4.6,0,Roy's,1,Central NJ
21,0,NJ,wave 1,182,4.5,4.5,0,Roy's,1,Central NJ
14,0,NJ,wave 1,183,4.37,4.37,0,Roy's,1,Central NJ
30.5,0,NJ,wave 1,184,4.25,4.25,0,Roy's,1,Central NJ
23.5,0,NJ,wave 1,185,4.25,4.25,0,Burger King,1,Southern NJ
14,0,NJ,wave 1,186,4.45,4.45,0,KFC,1,Southern NJ
14.5,0,NJ,wave 1,187,4.35,4.35,0,Roy's,1,Southern NJ
15.5,0,NJ,wave 1,188,4.5,4.5,0,Burger King,1,Undefined NJ
26.5,0,NJ,wave 1,189,4.75,4.75,0,Burger King,1,Central NJ
8,0,NJ,wave 1,190,4.5,4.5,0,KFC,1,Undefined NJ
5.5,0,NJ,wave 1,191,4.5,4.5,0,KFC,1,Undefined NJ
23.25,0,NJ,wave 1,192,4.5,4.5,0,Roy's,1,Undefined NJ
15.5,0,NJ,wave 1,193,4.95,4.95,1,Roy's,1,Undefined NJ
32.25,0,NJ,wave 1,194,4.5,4.5,0,Wendy's,1,Undefined NJ
30,0,NJ,wave 1,195,4.25,4.25,0,Burger King,1,Central NJ
NA,0,NJ,wave 1,196,4.25,4.25,1,Burger King,1,Undefined NJ
30.5,0,NJ,wave 1,197,4.5,4.5,0,Burger King,1,Undefined NJ
14,0,NJ,wave 1,198,4.8,4.8,0,Burger King,1,Undefined NJ
27,0,NJ,wave 1,199,4.25,4.25,0,Burger King,1,Undefined NJ
18.5,0,NJ,wave 1,200,4.5,4.5,0,Burger King,1,Undefined NJ
38,0,NJ,wave 1,201,4.25,4.25,0,Burger King,1,Undefined NJ
16.5,0,NJ,wave 1,202,4.25,4.25,0,Burger King,1,Undefined NJ
50,0,NJ,wave 1,203,4.5,4.5,0,Burger King,1,Undefined NJ
20.5,0,NJ,wave 1,204,4.75,4.75,0,Burger King,1,Undefined NJ
6.5,0,NJ,wave 1,205,4.25,4.25,0,KFC,1,Undefined NJ
13.5,0,NJ,wave 1,206,4.25,4.25,0,KFC,1,Undefined NJ
28,0,NJ,wave 1,207,4.25,4.25,1,Roy's,1,Undefined NJ
21.5,0,NJ,wave 1,208,4.5,4.5,1,Roy's,1,Undefined NJ
NA,0,NJ,wave 1,209,4.25,4.25,0,Wendy's,1,Undefined NJ
24,0,NJ,wave 1,210,4.5,4.5,0,Burger King,1,Central NJ
20.5,0,NJ,wave 1,211,4.25,4.25,0,Burger King,1,Central NJ
NA,0,NJ,wave 1,212,4.5,4.5,0,Burger King,1,Central NJ
23.5,0,NJ,wave 1,213,4.25,4.25,0,Burger King,1,Southern NJ
23,0,NJ,wave 1,214,4.25,4.25,1,Burger King,1,Central NJ
17,0,NJ,wave 1,215,4.25,4.25,1,Burger King,1,Central NJ
20.5,0,NJ,wave 1,216,4.25,4.25,1,Burger King,1,Undefined NJ
23.5,0,NJ,wave 1,217,4.25,4.25,0,KFC,1,Central NJ
9.5,0,NJ,wave 1,218,4.25,4.25,0,KFC,1,Undefined NJ
10,0,NJ,wave 1,219,4.25,4.25,0,KFC,1,Central NJ
14,0,NJ,wave 1,220,4.25,4.25,0,KFC,1,Central NJ
85,0,NJ,wave 1,221,4.75,4.75,1,Roy's,1,Central NJ
15,0,NJ,wave 1,222,4.75,4.75,0,Roy's,1,Central NJ
21.5,0,NJ,wave 1,223,4.4,4.4,0,Roy's,1,Southern NJ
53,0,NJ,wave 1,224,4.62,4.62,0,Wendy's,1,Central NJ
24,0,NJ,wave 1,225,4.25,4.25,0,Burger King,1,Undefined NJ
20.5,0,NJ,wave 1,226,4.25,4.25,0,Burger King,1,Undefined NJ
14.5,0,NJ,wave 1,227,4.25,4.25,1,Burger King,1,Undefined NJ
25,0,NJ,wave 1,228,4.25,4.25,0,Burger King,1,Undefined NJ
27,0,NJ,wave 1,229,4.25,4.25,0,Roy's,1,Undefined NJ
22.5,0,NJ,wave 1,230,4.75,4.75,0,Burger King,1,Central NJ
36.5,0,NJ,wave 1,231,4.75,4.75,0,Burger King,1,Central NJ
17.25,0,NJ,wave 1,232,4.25,4.25,0,Burger King,1,Central NJ
21.5,0,NJ,wave 1,233,4.25,4.25,0,Burger King,1,Undefined NJ
24.5,0,NJ,wave 1,234,4.75,4.75,0,Burger King,1,Undefined NJ
19,0,NJ,wave 1,235,4.5,4.5,1,Burger King,1,Central NJ
25,0,NJ,wave 1,236,4.25,4.25,0,Burger King,1,Undefined NJ
16,0,NJ,wave 1,237,4.25,4.25,0,Burger King,1,Central NJ
19,0,NJ,wave 1,238,4.5,4.5,0,KFC,1,Central NJ
22.75,0,NJ,wave 1,239,4.5,4.5,1,Roy's,1,Central NJ
35,0,NJ,wave 1,240,4.5,4.5,1,Roy's,1,Central NJ
16,0,NJ,wave 1,241,4.75,4.75,1,Roy's,1,Central NJ
21,0,NJ,wave 1,242,4.62,4.62,0,Roy's,1,Central NJ
26.75,0,NJ,wave 1,243,4.25,4.25,1,Roy's,1,Central NJ
30.5,0,NJ,wave 1,244,4.25,4.25,1,Roy's,1,Undefined NJ
23,0,NJ,wave 1,245,4.5,4.5,0,Wendy's,1,Central NJ
21.5,0,NJ,wave 1,246,4.75,4.75,0,Wendy's,1,Central NJ
36.5,0,NJ,wave 1,247,4.25,4.25,0,Wendy's,1,Undefined NJ
23,0,NJ,wave 1,248,4.8,4.8,0,Burger King,1,Undefined NJ
14,0,NJ,wave 1,249,4.5,4.5,0,Burger King,1,Undefined NJ
17.25,0,NJ,wave 1,250,4.67,4.67,0,Burger King,1,Undefined NJ
18.5,0,NJ,wave 1,251,4.87,4.87,0,Burger King,1,Undefined NJ
8.5,0,NJ,wave 1,252,4.5,4.5,0,KFC,1,Undefined NJ
14,0,NJ,wave 1,253,4.5,4.5,0,KFC,1,Undefined NJ
23,0,NJ,wave 1,254,4.75,4.75,1,Roy's,1,Undefined NJ
29,0,NJ,wave 1,255,4.75,4.75,0,Wendy's,1,Undefined NJ
19,0,NJ,wave 1,256,4.25,4.25,0,Burger King,1,Undefined NJ
21,0,NJ,wave 1,257,4.25,4.25,1,Burger King,1,Undefined NJ
17,0,NJ,wave 1,258,4.75,4.75,0,Burger King,1,Undefined NJ
36,0,NJ,wave 1,259,4.85,4.85,0,Burger King,1,Undefined NJ
25,0,NJ,wave 1,260,4.75,4.75,0,Burger King,1,Undefined NJ
29.5,0,NJ,wave 1,261,4.62,4.62,0,Burger King,1,Undefined NJ
22,0,NJ,wave 1,262,4.25,4.25,1,KFC,1,Undefined NJ
11,0,NJ,wave 1,263,4.25,4.25,0,KFC,1,Undefined NJ
13.5,0,NJ,wave 1,264,4.5,4.5,0,KFC,1,Undefined NJ
13.5,0,NJ,wave 1,265,4.5,4.5,0,KFC,1,Southern NJ
18,0,NJ,wave 1,266,4.62,4.62,0,KFC,1,Undefined NJ
9.5,0,NJ,wave 1,267,4.5,4.5,0,KFC,1,Central NJ
24,0,NJ,wave 1,268,4.75,4.75,0,Roy's,1,Undefined NJ
14.5,0,NJ,wave 1,269,4.75,4.75,0,Roy's,1,Undefined NJ
29,0,NJ,wave 1,270,4.87,4.87,0,Wendy's,1,Undefined NJ
10.5,0,NJ,wave 1,271,4.5,4.5,0,Wendy's,1,Undefined NJ
18,0,NJ,wave 1,272,4.25,4.25,0,Wendy's,1,Undefined NJ
